nth  paddr      vaddr       len  size section type    string
------------------------------------------------------------
0    0x0018cc50 0x18018e050 7    16   .rdata  utf16le reports
1    0x0018cc60 0x18018e060 8    18   .rdata  utf16le metadata
2    0x0018cc78 0x18018e078 12   26   .rdata  utf16le settings.dat
3    0x0018cf73 0x18018e373 5    6    .rdata  ascii   8k\ty:
4    0x0018cf7f 0x18018e37f 5    6    .rdata  ascii   =33s?
5    0x0018cf9a 0x18018e39a 4    5    .rdata  ascii   ~?33
6    0x0018d0a3 0x18018e4a3 5    6    .rdata  ascii   L'knN
7    0x0018d0c7 0x18018e4c7 6    7    .rdata  ascii   [k\v^]#
8    0x0018d0e2 0x18018e4e2 4    5    .rdata  ascii   SgQY
9    0x0018d0ee 0x18018e4ee 4    5    .rdata  ascii   Nl9?
10   0x0018d0fa 0x18018e4fa 4    5    .rdata  ascii   Iq|o
11   0x0018d105 0x18018e505 4    6    .rdata  utf8    7Ev߄
12   0x0018d10f 0x18018e50f 5    8    .rdata  utf8    yΗ@{½
13   0x0018d127 0x18018e527 8    10   .rdata  utf8    ?ŏ1w-!O?
14   0x0018d13f 0x18018e53f 7    8    .rdata  ascii   ?ffffff
15   0x0018d15c 0x18018e55c 5    6    .rdata  ascii   UMP?7
16   0x0018d16f 0x18018e56f 5    7    .rdata  utf8    ?ףp=\n
17   0x0018d177 0x18018e577 6    7    .rdata  ascii   ?fffff
18   0x0018d194 0x18018e594 5    6    .rdata  ascii   4`P?\r
19   0x0018d1af 0x18018e5af 5    7    .rdata  utf8    ?=\nףp
20   0x0018d1df 0x18018e5df 5    7    .rdata  utf8    ?\vvöE
21   0x0018d21b 0x18018e61b 5    6    .rdata  ascii   tHbP?
22   0x0018d237 0x18018e637 5    6    .rdata  ascii   ?8EGr
23   0x0018d246 0x18018e646 4    5    .rdata  ascii   X@(\
24   0x0018d25f 0x18018e65f 4    5    .rdata  ascii   @]D5
25   0x0018d26b 0x18018e66b 6    7    .rdata  ascii   IMbP?i
26   0x0018d2a7 0x18018e6a7 5    6    .rdata  ascii   @3333
27   0x0018d2c4 0x18018e6c4 4    5    .rdata  ascii   MbP?
28   0x0018d2d7 0x18018e6d7 4    5    .rdata  ascii   ?e\r(
29   0x0018d2df 0x18018e6df 4    5    .rdata  ascii   ?_\b9
30   0x0018d2e6 0x18018e6e6 5    6    .rdata  ascii   #@wJ\a
31   0x0018d307 0x18018e707 4    5    .rdata  ascii   @fff
32   0x0018d324 0x18018e724 6    7    .rdata  ascii   MbP?}F
33   0x0018d346 0x18018e746 4    5    .rdata  ascii   #@\v!
34   0x0018d36e 0x18018e76e 5    6    .rdata  ascii   .Afff
35   0x0018d38c 0x18018e78c 5    6    .rdata  ascii   MbP?{
36   0x0018d3d6 0x18018e7d6 4    5    .rdata  ascii   .A=\n
37   0x0018d3fc 0x18018e7fc 4    5    .rdata  ascii   MbP?
38   0x0018d474 0x18018e874 6    9    .rdata  utf8    MbP?㣭G
39   0x0018d49e 0x18018e89e 4    5    .rdata  ascii   X@3T
40   0x0018d4cd 0x18018e8cd 4    6    .rdata  utf8    חA(\
41   0x0018d4e4 0x18018e8e4 4    5    .rdata  ascii   vH7B
42   0x0018d4f4 0x18018e8f4 6    7    .rdata  ascii   MbP?8\t
43   0x0018d564 0x18018e964 4    5    .rdata  ascii   vH7B
44   0x0018d57c 0x18018e97c 5    6    .rdata  ascii   MbP?Z
45   0x0018d5ec 0x18018e9ec 5    6    .rdata  ascii   vH7Bf
46   0x0018d60c 0x18018ea0c 5    6    .rdata  ascii   MbP?^
47   0x0018d67c 0x18018ea7c 4    5    .rdata  ascii   vH7B
48   0x0018d6a4 0x18018eaa4 5    6    .rdata  ascii   MbP?w
49   0x0018d714 0x18018eb14 4    5    .rdata  ascii   vH7B
50   0x0018d74c 0x18018eb4c 5    6    .rdata  ascii   MbP?z
51   0x0018d7bc 0x18018ebbc 4    5    .rdata  ascii   vH7B
52   0x0018d7ec 0x18018ebec 4    5    .rdata  ascii   W4vC
53   0x0018d84f 0x18018ec4f 8    11   .rdata  utf8    E錠9Y>)F$
54   0x0018d87b 0x18018ec7b 5    6    .rdata  ascii   raB3G
55   0x0018d886 0x18018ec86 6    7    .rdata  ascii   hG\eiWC
56   0x0018d8a4 0x18018eca4 4    5    .rdata  ascii   )c=H
57   0x0018d8ad 0x18018ecad 4    5    .rdata  ascii   ]rH`
